,n_estimators,random_state,min_samples_split,min_samples_leaf,bootstrap,max_depth,Train Gini,Test Gini
0,41.0,0.0,22.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,41.0,0.0,22.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,41.0,0.0,42.0,1.0,1.0,1.0,0.5861244019138756,0.5228105228105226
0,41.0,0.0,42.0,1.0,1.0,21.0,0.7511961722488039,0.4625374625374625
0,41.0,0.0,42.0,1.0,1.0,41.0,0.7511961722488039,0.4625374625374625
0,41.0,0.0,42.0,21.0,1.0,1.0,0.4897470950102529,0.4785214785214784
0,41.0,0.0,42.0,21.0,1.0,21.0,0.5974025974025974,0.4798534798534799
0,41.0,0.0,42.0,21.0,1.0,41.0,0.5974025974025974,0.4798534798534799
0,41.0,0.0,42.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,41.0,0.0,42.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,41.0,0.0,42.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,61.0,0.0,2.0,1.0,1.0,1.0,0.5977443609022557,0.5274725274725274
0,61.0,0.0,2.0,1.0,1.0,21.0,1.0,0.3233433233433236
0,61.0,0.0,2.0,1.0,1.0,41.0,1.0,0.3233433233433236
0,61.0,0.0,2.0,21.0,1.0,1.0,0.4880382775119618,0.4925074925074924
0,61.0,0.0,2.0,21.0,1.0,21.0,0.5768967874231032,0.4898434898434898
0,61.0,0.0,2.0,21.0,1.0,41.0,0.5768967874231032,0.4898434898434898
0,61.0,0.0,2.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,61.0,0.0,2.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,61.0,0.0,2.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,61.0,0.0,22.0,1.0,1.0,1.0,0.5977443609022557,0.5274725274725274
0,61.0,0.0,22.0,1.0,1.0,21.0,0.894736842105263,0.4272394272394273
0,61.0,0.0,22.0,1.0,1.0,41.0,0.894736842105263,0.4272394272394273
0,61.0,0.0,22.0,21.0,1.0,1.0,0.4880382775119618,0.4925074925074924
0,61.0,0.0,22.0,21.0,1.0,21.0,0.5768967874231032,0.4898434898434898
0,61.0,0.0,22.0,21.0,1.0,41.0,0.5768967874231032,0.4898434898434898
0,61.0,0.0,22.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,61.0,0.0,22.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,61.0,0.0,22.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,61.0,0.0,42.0,1.0,1.0,1.0,0.5977443609022557,0.5274725274725274
0,61.0,0.0,42.0,1.0,1.0,21.0,0.7477785372522214,0.4831834831834833
0,61.0,0.0,42.0,1.0,1.0,41.0,0.7477785372522214,0.4831834831834833
0,61.0,0.0,42.0,21.0,1.0,1.0,0.4880382775119618,0.4925074925074924
0,61.0,0.0,42.0,21.0,1.0,21.0,0.5768967874231032,0.4898434898434898
0,61.0,0.0,42.0,21.0,1.0,41.0,0.5768967874231032,0.4898434898434898
0,61.0,0.0,42.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,61.0,0.0,42.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,61.0,0.0,42.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,81.0,0.0,2.0,1.0,1.0,1.0,0.5933014354066986,0.5364635364635364
0,81.0,0.0,2.0,1.0,1.0,21.0,1.0,0.34998334998335
0,81.0,0.0,2.0,1.0,1.0,41.0,1.0,0.34998334998335
0,81.0,0.0,2.0,21.0,1.0,1.0,0.4921394395078606,0.4901764901764902
0,81.0,0.0,2.0,21.0,1.0,21.0,0.5885167464114831,0.4918414918414919
0,81.0,0.0,2.0,21.0,1.0,41.0,0.5885167464114831,0.4918414918414919
0,81.0,0.0,2.0,41.0,1.0,1.0,0.1640464798359535,0.3536463536463536
0,81.0,0.0,2.0,41.0,1.0,21.0,0.1640464798359535,0.3536463536463536
0,81.0,0.0,2.0,41.0,1.0,41.0,0.1640464798359535,0.3536463536463536
0,81.0,0.0,22.0,1.0,1.0,1.0,0.5933014354066986,0.5364635364635364
0,81.0,0.0,22.0,1.0,1.0,21.0,0.8933697881066303,0.4112554112554112
0,81.0,0.0,22.0,1.0,1.0,41.0,0.8933697881066303,0.4112554112554112
0,81.0,0.0,22.0,21.0,1.0,1.0,0.4921394395078606,0.4901764901764902
